metric,rank,model,name,layer_id,bit,flat,weight_score,metric_delta,metric_value
+diffx,562,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,9,3941,1821.16162109375,44.94402656257153,70.64447469413281
+diffx,502,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,10,3941,1821.16162109375,48.249554657936095,73.95000278949738
+diffx,459,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,12,2749,621.9788208007812,50.72008500099182,76.4205331325531
+diffx,641,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,12,1518,1346.789306640625,41.666205477714534,67.36665360927582
+diffx,673,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,12,1519,1147.95703125,41.016424793004994,66.71687292456627
+diffx,781,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,12,3332,893.3121337890625,37.75838804244995,63.45883617401123
+diffx,799,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,12,1474,855.7299194335938,37.17248204946518,62.87293018102646
+diffx,800,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,12,1498,1087.489990234375,37.169735074043274,62.870183205604555
+diffx,398,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,13,2745,1037.850830078125,53.174819922447206,78.87526805400849
+diffx,456,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,13,1501,1615.7623291015625,51.029166078567506,76.72961421012879
+diffx,504,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,13,1512,1170.0838623046875,48.10048093795776,73.80092906951904
+diffx,513,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,13,1521,1218.6815185546875,47.67952303886414,73.37997117042542
+diffx,522,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,13,1472,1504.73779296875,46.85868644714355,72.55913457870483
+diffx,566,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,13,1532,1400.122314453125,44.71152045726776,70.41196858882904
+diffx,568,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,13,2694,613.9071044921875,44.58779816627503,70.28824629783631
+diffx,583,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,13,1479,1157.1572265625,44.12698998451233,69.82743811607361
+diffx,608,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,13,2692,617.7307739257812,42.68341610431671,68.383864235878
+diffx,634,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,13,1499,979.3941650390625,41.83447539806365,67.53492352962493
+diffx,635,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,13,1497,1191.3017578125,41.819748711585994,67.52019684314727
+diffx,683,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,13,1511,1283.6617431640625,40.75753474235534,66.45798287391662
+diffx,686,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,13,1486,1019.1023559570312,40.562260627746575,66.26270875930786
+diffx,695,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,13,1505,1048.54931640625,40.43464992046356,66.13509805202484
+diffx,703,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,13,1478,1298.807373046875,40.09385201931,65.79430015087128
+diffx,716,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,13,1487,616.0116577148438,39.77577474117279,65.47622287273407
+diffx,729,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,13,3329,801.2923583984375,39.38660871982574,65.08705685138702
+diffx,730,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,13,3328,1123.571044921875,39.37364180088043,65.07408993244171
+diffx,793,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,13,1484,996.8990478515625,37.394321417808534,63.094769549369815
+diffx,795,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,13,1516,1112.154296875,37.281797432899474,62.982245564460754
+diffx,843,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,13,1530,1179.7728271484375,35.410545063018795,61.110993194580075
+diffx,864,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,13,1517,786.24267578125,34.738779640197755,60.439227771759036
+diffx,867,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,13,3367,862.9226684570312,34.56695508956909,60.26740322113037
+diffx,882,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,13,3377,688.1807250976562,33.79675719738007,59.49720532894135
+diffx,968,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,13,1473,1206.3173828125,29.558726119995114,55.259174251556395
+diffx,310,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,3343,574.2611694335938,66.59643573760985,92.29688386917114
+diffx,311,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,2694,613.9071044921875,66.30257420539857,92.00302233695984
+diffx,327,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,2715,617.2064208984375,62.02260992527008,87.72305805683136
+diffx,333,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,2692,617.7307739257812,61.226948308944706,86.92739644050599
+diffx,334,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,2745,1037.850830078125,60.94924416542053,86.64969229698181
+diffx,336,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,2748,673.80322265625,60.680905199050905,86.38135333061219
+diffx,355,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,3383,606.3217163085938,57.46783256530761,83.16828069686889
+diffx,358,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,2725,2292.798828125,57.08024053573609,82.78068866729737
+diffx,384,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,1487,616.0116577148438,54.48577575683594,80.18622388839722
+diffx,388,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,3369,1104.448974609375,53.8198224067688,79.52027053833008
+diffx,389,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,1518,1346.789306640625,53.7651873588562,79.46563549041748
